char,zhuyin
一,ㄧ
七,ㄑㄧ
三,ㄙㄢ
上,ㄕㄤˋ
下,ㄒㄧㄚˋ
不,ㄅㄨˋ
且,ㄑㄧㄝˇ
世,ㄕˋ
丟,ㄉㄧㄡ
並,ㄅㄧㄥˋ
中,ㄓㄨㄥ
丸,ㄨㄢˊ
主,ㄓㄨˇ
久,ㄐㄧㄡˇ
之,ㄓ
乎,ㄏㄨ
乘,ㄔㄥˊ
九,ㄐㄧㄡˇ
也,ㄧㄝˇ
亂,ㄌㄨㄢˋ
了,ㄌㄜ˙
事,ㄕˋ
二,ㄦˋ
互,ㄏㄨˋ
五,ㄨˇ
井,ㄐㄧㄥˇ
些,ㄒㄧㄝ
亞,ㄧㄚˇ
亡,ㄨㄤˊ
交,ㄐㄧㄠ
享,ㄒㄧㄤˇ
亮,ㄌㄧㄤˋ
人,ㄖㄣˊ
什,ㄕㄜˊ
今,ㄐㄧㄣ
介,ㄐㄧㄝˋ
他,ㄊㄚ
仗,ㄓㄤˋ
付,ㄈㄨˋ
代,ㄉㄞˋ
令,ㄌㄧㄥˋ
以,ㄧˇ
件,ㄐㄧㄢˋ
任,ㄖㄣˋ
份,ㄈㄣˋ
休,ㄒㄧㄡ
伴,ㄅㄢˋ
似,ㄙˋ
但,ㄉㄢˋ
位,ㄨㄟˋ
住,ㄓㄨˋ
佔,ㄓㄢˋ
何,ㄏㄜˊ
佛,ㄈㄛˊ
作,ㄗㄨㄛˋ
你,ㄋㄧˇ
佳,ㄐㄧㄚ
使,ㄕˇ
來,ㄌㄞˊ
來,ㄌㄞˊ
例,ㄌㄧˋ
供,ㄍㄨㄥ
依,ㄧ
便,ㄅㄧㄢˋ
俗,ㄙㄨˊ
保,ㄅㄠˇ
修,ㄒㄧㄡ
個,ㄍㄜ˙
倍,ㄅㄟˋ
們,ㄇㄣ˙
倒,ㄉㄠˋ
候,ㄏㄡˋ
借,ㄐㄧㄝˋ
值,ㄓˊ
假,ㄐㄧㄚˇ
偉,ㄨㄟˇ
偏,ㄆㄧㄢ
做,ㄗㄨㄛˋ
停,ㄊㄧㄥˊ
健,ㄐㄧㄢˋ
偶,ㄡˇ
備,ㄅㄟˋ
傳,ㄔㄨㄢˊ
傷,ㄕㄤ
像,ㄒㄧㄤˋ
僱,ㄍㄨˋ
價,ㄐㄧㄚˋ
優,ㄧㄡ
元,ㄩㄢˊ
兄,ㄒㄩㄥ
充,ㄔㄨㄥ
先,ㄒㄧㄢ
光,ㄍㄨㄤ
克,ㄎㄜˋ
免,ㄇㄧㄢˇ
兒,ㄦˊ
入,ㄖㄨˋ
內,ㄋㄟˋ
全,ㄑㄩㄢˊ
兩,ㄌㄧㄤˇ
八,ㄅㄚ
公,ㄍㄨㄥ
六,ㄌㄧㄡˋ
共,ㄍㄨㄥˋ
兵,ㄅㄧㄥ
其,ㄑㄧˊ
具,ㄐㄩˋ
典,ㄉㄧㄢˇ
冊,ㄘㄜˋ
再,ㄗㄞˋ
冒,ㄇㄠˋ
冠,ㄍㄨㄢˋ
冬,ㄉㄨㄥ
冰,ㄅㄧㄥ
冷,ㄋㄥˇ
凡,ㄈㄢˊ
出,ㄔㄨ
刀,ㄉㄠ
分,ㄈㄣ
切,ㄑㄧㄝ
刊,ㄎㄢ
列,ㄌㄧㄝˋ
初,ㄔㄨ
別,ㄅㄧㄝˊ
利,ㄌㄧˋ
到,ㄉㄠˋ
制,ㄓˋ
券,ㄑㄩㄢˋ
刺,ㄘˋ
刻,ㄎㄜˋ
則,ㄗㄜˊ
前,ㄑㄧㄢˊ
剔,ㄊㄧˋ
剛,ㄍㄤ
剩,ㄕㄥˋ
剪,ㄐㄧㄢˇ
副,ㄈㄨˋ
創,ㄔㄨㄤˋ
劇,ㄐㄩˋ
力,ㄌㄧˋ
功,ㄍㄨㄥ
加,ㄐㄧㄚ
助,ㄓㄨˋ
努,ㄋㄨˇ
勁,ㄐㄧㄣˋ
勇,ㄩㄥˇ
動,ㄉㄨㄥˋ
務,ㄨˋ
勞,ㄌㄠˊ
募,ㄇㄨˋ
勤,ㄑㄧㄣˊ
勸,ㄑㄩㄢˋ
勿,ㄨˋ
包,ㄅㄠ
化,ㄏㄨㄚˋ
北,ㄅㄟˇ
區,ㄑㄩ
十,ㄕˊ
千,ㄑㄧㄢ
升,ㄕㄥ
午,ㄨˇ
半,ㄅㄢˋ
協,ㄒㄧㄝˊ
南,ㄋㄢˊ
博,ㄅㄛˊ
卡,ㄎㄚˇ
印,ㄧㄣˋ
危,ㄨㄟˊ
卷,ㄐㄩㄢˇ
卻,ㄑㄩㄝˋ
厚,ㄏㄡˋ
原,ㄩㄢˊ
去,ㄑㄩˋ
參,ㄘㄢ
參,ㄘㄢ
又,ㄧㄡˋ
及,ㄐㄧˊ
友,ㄧㄡˇ
反,ㄈㄢˇ
叔,ㄕㄨˊ
取,ㄑㄩˇ
受,ㄕㄡˋ
古,ㄍㄨˇ
句,ㄐㄩˋ
另,ㄌㄧㄥˋ
只,ㄓˇ
叫,ㄐㄧㄠˋ
召,ㄓㄠ
可,ㄎㄜˇ
史,ㄕˇ
右,ㄧㄡˋ
司,ㄙ
各,ㄍㄜˋ
合,ㄏㄜˊ
吉,ㄐㄧˊ
吋,ㄘㄨㄣˋ
同,ㄊㄨㄥˊ
名,ㄇㄧㄥˊ
向,ㄒㄧㄤˋ
否,ㄈㄡˇ
含,ㄏㄢˊ
吵,ㄔㄠˇ
吸,ㄒㄧ
吹,ㄔㄨㄟ
呀,ㄧㄚ˙
呆,ㄉㄞ
告,ㄍㄠˋ
周,ㄓㄡ
味,ㄨㄟˋ
呼,ㄏㄨ
命,ㄇㄧㄥˋ
和,ㄏㄜˊ
咬,ㄧㄠˇ
咳,ㄎㄜˊ
品,ㄆㄧㄣˇ
員,ㄩㄢˊ
哥,ㄍㄜ
哪,ㄋㄚˇ
哭,ㄎㄨ
唐,ㄊㄤˊ
售,ㄕㄡˋ
唱,ㄔㄤˋ
商,ㄕㄤ
問,ㄨㄣˋ
啓,ㄑㄧˇ
善,ㄕㄢˋ
